author;difficulty;date;text;topic1;topic2;topic3;тема 3;hint;solution
Ираклий Гагуа;50;07.01.2011;"Сколько существует
А) трехзначных чисел?
Б) пятизначных чисел?
В) пятизначных чисел, в которых все цифры четные?
Г) пятизначных чисел, в которых есть хотя бы одна четная цифра?";комбинаторика;числа;;;;
Ираклий Гагуа;50;07.01.2011;Сколько существует двузначных чисел, у которых цифры идут по возрастанию?;комбинаторика;числа;;;;
Ираклий Гагуа;51;07.01.2011;Сколько существует трехзначных чисел, у которых цифры идут по возрастанию?;комбинаторика;числа;;;;
Ираклий Гагуа;52;07.01.2011;Сколькими способами можно поставить на доску 3х3 белую и чёрную ладьи так, чтобы они не били друг друга?;комбинаторика;шахматы;;;;
Ираклий Гагуа;52;07.01.2011;Сколькими способами можно поставить на доску 3х3 двух белых ладей так, чтобы они не били друг друга?;комбинаторика;шахматы;;;;
Ираклий Гагуа;70;07.01.2011;Сколькими способами можно переставить 7 подносов, стоящих на длинном узком столе?;комбинаторика;;;;;
Ираклий Гагуа;71;07.01.2011;Сколькими способами можно переставить n подносов, стоящих на длинном узком столе? Это называется число перестановок из n элементов и обозначается $P_n$.;комбинаторика;;;;;
Ираклий Гагуа;71;07.01.2011;Сколько различных слов (не обязательно осмысленных) можно составить, используя 3 буквы А, 4 буквы Б и 5 букв В?;комбинаторика;;;;;
Ираклий Гагуа;73;07.01.2011;Имеется $k_1$ шариков 1-го цвета, … , $k_n$ шариков n-го цвета. Сколькими способами их можно расставить в ряд?;комбинаторика;;;;;
Ираклий Гагуа;72;07.01.2011;Сколько существует двоичных слов длины 10, в которых ровно 4 нуля?;комбинаторика;;;;;
Ираклий Гагуа;72;07.01.2011;Сколько существует двоичных слов длины n, в которых ровно k нулей? Это называется число сочетаний из n элементов по k и обозначается $C_n^k$ или $(^n_k)$;комбинаторика;;;;;
Ираклий Гагуа;50;07.01.2011;В команде из 11 человек нужно выбрать капитана и заместителя. Сколькими способами это можно сделать?;комбинаторика;;;;;
Ираклий Гагуа;51;07.01.2011;Сколькими способами можно выбрать гласную и согласную буквы в слове «КРУЖОК»?;комбинаторика;;;;;
Ираклий Гагуа;51;07.01.2011;На доске написаны 7 существительных, 5 глаголов и 2 прилагательных. Для предложения нужно выбрать по одному слову каждой из этих частей речи. Сколькими способами это можно сделать?;комбинаторика;;;;;
Ираклий Гагуа;52;07.01.2011;"В магазин «Всё для чая» завезли 4 различные чайные ложки.
а) Сколькими способами можно купить набор из трех предметов?
б) А из двух предметов?";комбинаторика;;;;;
Ираклий Гагуа;53;07.01.2011;Каких двоичных слов длины 50 больше: тех, в которых 36 единиц, или тех, в которых 14 единиц?;комбинаторика;;;;;
25 школа;70;01.11.2012;"Кощей Бессмертный, желая сделать Бабе Яге подарок на Новый Год,
приобрел кучу метелок трех сортов, ступы 5 видов и головные платки 7
расцветок. Он хочет каждый Новый Год дарить Яге 1 метлу, 1 ступу и 1
платок, но так, чтобы ни один год наборы подарков не совпадали. На
сколько лет ему хватит приобретенных товаров? (Считайте, что
количество приобретенных предметов сколь угодно велико.)";комбинаторика;;;;;
25 школа;71;01.11.2012;"Монету бросают трижды. Сколько различных последовательностей орлов
и решек можно получить? А если монету бросать 100 раз?";комбинаторика;;;;;
25 школа;72;01.11.2012;"Назовем число симпатичным, если в его записи встречаются только
нечетные цифры. Сколько существует а) пятизначных симпатичных чисел;
б) пятизначниых несимпатичных чисел?";комбинаторика;числа;;;;
25 школа;72;01.11.2012;"В алфавите племени Умбо–Юмбо всего три буквы: А, У и О. Словом
считается любая последовательность букв, содержащая не более, чем 4
буквы. Сколько слов в языке племени Умбо–Юмбо?";комбинаторика;;;;;
25 школа;73;01.11.2012;"В классе 10 учеников. Сколькими способами можно разбить этот класс а)
на две; б) на три не обязательно равные непустые группы? (Назначения
групп различны!)";комбинаторика;;;;;
25 школа;72;01.11.2012;"В классе из 25 человек требуется выбрать а) старосту и его заместителя; б)
двух дежурных. Сколькими способами это можно сделать?";комбинаторика;;;;;
25 школа;73;01.11.2012;Сколько диагоналей имеет выпуклый а) 25-тиугольник б) n-угольник?;комбинаторика;геометрия;;;;
25 школа;73;01.11.2012;"Сколькими способами можно поставить на шахматную доску а) белую и
черную ладьи; б) две белых ладьи так, чтобы они не били друг друга?";комбинаторика;шахматы;;;;
25 школа;73;01.11.2012;"Сколькими способами можно поставить на шахматную доску а) белого и
черного королей; б) двух белых королей так, чтобы они не били друг
друга?";комбинаторика;шахматы;;;;
25 школа;73;01.11.2012;"Каких семизначных чисел больше: тех, в записи которых есть 1 или
остальных?";комбинаторика;числа;;;;
25 школа;72;01.11.2012;"В 7М классе учится 26 человек. Сколькими способами их можно
выстроить в ряд при условии, что а) Ваня и Женя должны обязательно
стоять рядом; б) Ваня и Женя ни в коем случае не должны стоять рядом.";комбинаторика;;;;;
Павел Минаев;82;07.10.2017;"Раскроем скобки в выражении $(x + 1)^n$
(a) Пусть все слагаемые приведены. Найдите коэффициент при $x^m$ с помощью комбинаторных размышлений.
(b) Докажите, что этот коэффициент равен найденному в предыдущем пункте числу, по индукции.
(c) Сколько будет слагаемых без приведения подобных слагаемых?
(d) Расскройте скобки у выражения $(x + y)^n$ и выразите коэффициенты прикаждом приведенном члене.
Выражение, полученное Вами в пункте (d) называется биномом Ньютона.";комбинаторика;;;;;
Павел Минаев;83;07.10.2017;"В этой задаче нужно внимательно смотреть на треугольник Паскаля
(a) Пусть есть бесконечная шахматная доска вправо и вверх. В левом нижнем углу стоит хромой король,
умеющий ходить только вправо и вверх. Сколько есть способов добраться до клетки (n;m), где n – число
строк по вертикали, а m – по горизонтали?
(b) Напишем в каждую клетку доски из предыдущей задачи число способов добраться до этой клетки. Как
связан треугольник Паскаля и эта табличка с числами? Докажите свою гипотезу.";комбинаторика;;;;;
Павел Минаев;81;07.10.2017;"Посмотрите на строчки треугольника Паскаля.
(a) Выпишите явно, чему равно $(x + 1)^4$ и $(x + 1)^5$.
(b) Докажите, используя только реккурентное определение треугольника Паскаля, связь между биномом Ньютона и треугольником Паскаля.";комбинаторика;;;;;
25 школа;70;01.07.2017;На дискотеку пришли 10 юношей и 10 девушек. Сколькими способами они могут разбиться на пары перед очередным медленным танцем?;комбинаторика;;;;;
25 школа;70;01.07.2017;Сколькими способами можно 20 человек разбить на пары?;комбинаторика;;;;;
25 школа;71;01.07.2017;Докажите, что количество способов выбрать из n элементов  группу из k равно n!/(k!(n-k)!);комбинаторика;;;;;
25 школа;70;01.07.2017;"Рота состоит из 3 лейтенантов, 6 сержантов и 60 рядовых. Сколькими способами
можно выбрать из них отряд, состоящий из одного лейтенанта, двух сержантов и 20
рядовых?";комбинаторика;;;;;
25 школа;71;01.07.2017;"На прямой отмечено 10 точек, а на параллельной ей прямой –11. Сколько
существует трапеций с вершинами в этих точках?";комбинаторика;геометрия;;;;
25 школа;72;01.07.2017;"Сколькими способами можно из 15 слов выбрать набор, состоящий не более чем
из 5 слов?";комбинаторика;;;;;
25 школа;70;01.07.2017;"В группе Платоны учатся 2 девочки и 8 мальчиков. Сколькими способами
Дмитрий Владимирович может отправить на олимпиаду команду из четырех человек
так, чтобы среди участников была хотя бы одна девочка?";комбинаторика;;;;;
25 школа;71;01.07.2017;"Сколькими способами можно 10 человек разбить на 2 баскетбольные команды
по 5 в каждой?";комбинаторика;;;;;
25 школа;72;01.07.2017;"Сколькими способами можно расставить 12 белых и 12 черных шашек на черных
полях шахматной доски?";комбинаторика;шахматы;;;;
25 школа;73;01.07.2017;Сколько существует десятизначных чисел, у которых сумма цифр равна 4?;комбинаторика;числа;;;;
25 школа;73;01.07.2017;"Сколько существует шестизначных чисел у которых четных и нечетных цифр
поровну?";комбинаторика;числа;;;;
25 школа;72;01.07.2017;"Семен имеет 6 друзей и в течение 5 дней приглашает в гости каких–то троих
из них так, чтобы компания ни разу не повторялась. Сколькими способами он может
это сделать?";комбинаторика;графы;;;;
Дарья Анзон;80;01.07.2017;"6 карточек пронумерованы числами 1, 2, 3, 4, 5, 6.
Карточки наугад выкладываем в ряд. Сколько при этом можно получить
различных шестизначных чисел?";комбинаторика;;;;;"На первое место можно положить одну из 6 карточек. Для этого есть
6 способов. В каждом из этих 6 способов на второе место можно положить одну
из оставшихся 5 карточек. Таким образом, существует $5 \cdot 6=30$ способов, чтобы
положить карточки на первое и второе места. В каждом из этих 30 способов на
третье место можно положить одну из оставшихся 4 карточек. Следовательно,
существует $4 \cdot 5 \cdot 6=120$ способов, чтобы положить карточки на первое, второе
и третье места. И так далее, пока не останется одна карточка. Таким образом,
при выкладывании карточек можно получить 6!=720 шестизначных чисел. Иногда нас может интересовать количество способов расположить не все n
элементов, а только несколько из них. Тогда цепочка из предыдущего
рассуждения оборвется на k-том шаге, а не дойдет до единицы. $n \cdot(n-1) \cdot(n-2) \cdot \ldots \cdot(n-k+1)$. Это число размещений k элементов из n можно более коротко записать: $\frac{n !}{(n-k) !}$. (Проверьте, что дробь сокращается до нужного произведения!)"
Дарья Анзон;81;01.07.2017;Вычислите: а) $\frac{24 ! ! 50 !}{25 ! \cdot 49 !}$ б)$\frac{40 !}{38 ! \cdot 5 !}$ в)$\frac{7 !+6 !}{5 !}$ г) $\frac{8 !-6 !}{55}$ д)$\frac{7 ! 4 !}{10 !}\left(\frac{8 !}{5 ! \cdot 3 !}-\frac{9 !}{7 ! \cdot 2 !}\right)$;комбинаторика;;;;;
Дарья Анзон;81;01.07.2017;Упростите выражения: а) $\frac{10 !}{n \cdot(n+1)} \cdot  \frac{(n+1) !}{8 !}$ б)$n ! \cdot\left(\frac{1}{n !}-\frac{1}{(n+1) !}\right)$;комбинаторика;;;;;
Дарья Анзон;82;01.07.2017;Решите уравнения: а) $\frac{(n+1) !}{(n-1) !}=72$ б)$\frac{n !-(n-1) !}{(n+1) !}=\frac{1}{6}$;комбинаторика;;;;;
Дарья Анзон;82;01.07.2017;"Объясните, как найти бесконечно много x, y и z, которые больше 1, и
удовлетворяют условию $x ! \cdot y !=z !$";комбинаторика;;;;;
Дарья Анзон;81;01.07.2017;"Сколько раз можно разделить число 10! на 2 нацело? (каждый следующий раз
мы делим результат предыдущего действия, а не 10!)";комбинаторика;;;;;
Дарья Анзон;81;01.07.2017;Сколько раз можно разделить число 100! на 10 нацело?;комбинаторика;;;;;
Дарья Анзон;82;01.07.2017;"Семь девушек водят хоровод. Сколькими различными способами они могут
встать в круг?";комбинаторика;;;;;
Дарья Анзон;81;01.07.2017;"Сколько различных чисел можно составить из цифр 0, 1, 2, 3, если ни одна из
цифр не будет повторяться? (число с нуля начинаться не может)";комбинаторика;;;;;
Дарья Анзон;82;01.07.2017;"Код для сейфа фирмы Невлезайубьет должен состоять из десяти различных
цифр и 33 различных букв. Богач Скуперфильд, опасаясь за свои сокровища,
каждый день выбирает новый (т.е. такой, которого еще ни разу не было) код к
своему сейфу. На протяжении скольких дней он сможет это делать?";комбинаторика;;;;;
Дарья Анзон;83;01.07.2017;"В футбольной команде 2 нападающих, 4 полузащитника, 4 защитника и 1
вратарь. Сколькими способами можно построить их в ряд так, чтобы первым
стоял вратарь, за ним стояли защитники, за ними — полузащитники, и в конце
— нападающие?";комбинаторика;;;;;
Дарья Анзон;83;01.07.2017;"Человек забыл две последние цифры в семизначном телефонном номере,
помнит только, что все цифры номера были неодинаковые. Сколько
телефонных номеров ему придется опробовать, чтобы дозвониться?";комбинаторика;;;;;
Дарья Анзон;82;01.07.2017;На гранях кубика расставлены числа от 1 до 6. Кубик бросили два раза. В первый раз сумма чисел на четырёх боковых гранях оказалась равна 12, во второй — 15. Какое число написано на грани, противоположной той, где написана цифра 3? ;комбинаторика;кубики;;;;
Дарья Анзон;82;01.07.2017;x, y > 0.  Через S обозначим наименьшее из чисел x, 1/y,  y + 1/x.  Какое максимальное значение может принимать величина S? ;неравенства;;;;;
Дарья Анзон;81;01.07.2017;Можно ли нарисовать на поверхности кубика Рубика такой замкнутый путь, который проходит через каждый квадратик ровно один раз (через вершины квадратиков путь не проходит)? ;графы;кубики;стереометрия;;;
Дарья Анзон;83;01.07.2017;Придумайте, как оклеить поверхность куба  с ребром 1 см шестью одинаковыми параллелограммами площади 1, которые не будут ни квадратами, ни прямоугольниками. ;конструктивы;стереометрия;;;;
Дмитрий Трущин;72;01.10.2013;"Имеется 6 разноцветных коробок. Сколькими способами можно в эти коробки
разложить 20 шаров при условии, что:
а. Шары разных размеров.
б. Шары одинаковые.
в. Шары одинаковые, и не должно остаться пустых коробок.
г. Шары одинаковые, и в каждой коробке должно оказаться не менее двух шаров.";комбинаторика;;;;;
