author	difficulty	date	topic1	text	topic2	topic3	answer	hint	solution	topics
Ираклий Гагуа	50	2011.0	комбинаторика	"Сколько существует
А) трехзначных чисел?
Б) пятизначных чисел?
В) пятизначных чисел, в которых все цифры четные?
Г) пятизначных чисел, в которых есть хотя бы одна четная цифра?"	числа					комбинаторика, числа, 
Ираклий Гагуа	50	2011.0	комбинаторика	Сколько существует двузначных чисел, у которых цифры идут по возрастанию?	числа					комбинаторика, числа, 
Ираклий Гагуа	51	2011.0	комбинаторика	Сколько существует трехзначных чисел, у которых цифры идут по возрастанию?	числа					комбинаторика, числа, 
Ираклий Гагуа	52	2011.0	комбинаторика	Сколькими способами можно поставить на доску 3х3 белую и чёрную ладьи так, чтобы они не били друг друга?	шахматы					комбинаторика, шахматы, 
Ираклий Гагуа	52	2011.0	комбинаторика	Сколькими способами можно поставить на доску 3х3 двух белых ладей так, чтобы они не били друг друга?	шахматы					комбинаторика, шахматы, 
Ираклий Гагуа	70	2011.0	комбинаторика	Сколькими способами можно переставить 7 подносов, стоящих на длинном узком столе?						комбинаторика, , 
Ираклий Гагуа	71	2011.0	комбинаторика	Сколькими способами можно переставить n подносов, стоящих на длинном узком столе? Это называется число перестановок из n элементов и обозначается $P_n$.						комбинаторика, , 
Ираклий Гагуа	71	2011.0	комбинаторика	Сколько различных слов (не обязательно осмысленных) можно составить, используя 3 буквы А, 4 буквы Б и 5 букв В?						комбинаторика, , 
Ираклий Гагуа	73	2011.0	комбинаторика	Имеется $k_1$ шариков 1-го цвета, … , $k_n$ шариков n-го цвета. Сколькими способами их можно расставить в ряд?						комбинаторика, , 
Ираклий Гагуа	72	2011.0	комбинаторика	Сколько существует двоичных слов длины 10, в которых ровно 4 нуля?						комбинаторика, , 
Ираклий Гагуа	72	2011.0	комбинаторика	Сколько существует двоичных слов длины n, в которых ровно k нулей? Это называется число сочетаний из n элементов по k и обозначается $C_n^k$ или $(^n_k)$						комбинаторика, , 
Ираклий Гагуа	50	2011.0	комбинаторика	В команде из 11 человек нужно выбрать капитана и заместителя. Сколькими способами это можно сделать?						комбинаторика, , 
Ираклий Гагуа	51	2011.0	комбинаторика	Сколькими способами можно выбрать гласную и согласную буквы в слове «КРУЖОК»?						комбинаторика, , 
Ираклий Гагуа	51	2011.0	комбинаторика	На доске написаны 7 существительных, 5 глаголов и 2 прилагательных. Для предложения нужно выбрать по одному слову каждой из этих частей речи. Сколькими способами это можно сделать?						комбинаторика, , 
Ираклий Гагуа	52	2011.0	комбинаторика	"В магазин «Всё для чая» завезли 4 различные чайные ложки.
а) Сколькими способами можно купить набор из трех предметов?
б) А из двух предметов?"						комбинаторика, , 
Ираклий Гагуа	53	2011.0	комбинаторика	Каких двоичных слов длины 50 больше: тех, в которых 36 единиц, или тех, в которых 14 единиц?						комбинаторика, , 
25 школа	70	2012.0	комбинаторика	"Кощей Бессмертный, желая сделать Бабе Яге подарок на Новый Год,
приобрел кучу метелок трех сортов, ступы 5 видов и головные платки 7
расцветок. Он хочет каждый Новый Год дарить Яге 1 метлу, 1 ступу и 1
платок, но так, чтобы ни один год наборы подарков не совпадали. На
сколько лет ему хватит приобретенных товаров? (Считайте, что
количество приобретенных предметов сколь угодно велико.)"						комбинаторика, , 
25 школа	71	2012.0	комбинаторика	"Монету бросают трижды. Сколько различных последовательностей орлов
и решек можно получить? А если монету бросать 100 раз?"						комбинаторика, , 
25 школа	72	2012.0	комбинаторика	"Назовем число симпатичным, если в его записи встречаются только
нечетные цифры. Сколько существует а) пятизначных симпатичных чисел;
б) пятизначниых несимпатичных чисел?"	числа					комбинаторика, числа, 
25 школа	72	2012.0	комбинаторика	"В алфавите племени Умбо–Юмбо всего три буквы: А, У и О. Словом
считается любая последовательность букв, содержащая не более, чем 4
буквы. Сколько слов в языке племени Умбо–Юмбо?"						комбинаторика, , 
25 школа	73	2012.0	комбинаторика	"В классе 10 учеников. Сколькими способами можно разбить этот класс а)
на две; б) на три не обязательно равные непустые группы? (Назначения
групп различны!)"						комбинаторика, , 
25 школа	72	2012.0	комбинаторика	"В классе из 25 человек требуется выбрать а) старосту и его заместителя; б)
двух дежурных. Сколькими способами это можно сделать?"						комбинаторика, , 
25 школа	73	2012.0	комбинаторика	Сколько диагоналей имеет выпуклый а) 25-тиугольник б) n-угольник?	геометрия					комбинаторика, геометрия, 
25 школа	73	2012.0	комбинаторика	"Сколькими способами можно поставить на шахматную доску а) белую и
черную ладьи; б) две белых ладьи так, чтобы они не били друг друга?"	шахматы					комбинаторика, шахматы, 
